Product	EMA	FDA	EN	Other	WHO	Year	Generic	DrugBank ID	ATC	ChEMBL	Indications	Targets	Last Update	
Abemaciclib	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/dr
ugs/DB12001">DB12001</a>	L01EF03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3301610">CHEMBL3301610</a>	Advanced Breast Cancer; Metastatic Breast Cancer	CDKN2A; PGR; CDK4; ERBB2; CDK6; ESR1; ABCB1; CCND2; NRAS; ESR2; SMARCA4; BRAF; TP53; MKI67; CCND3; CCND1; EIF4EBP1; KRAS; PIK3CA	2024-07-24
Abiraterone	Y	Y	N		Y	2011	Y	<a href="https://go.drugbank.com/drugs/DB05812">DB05812</a>	L02BX03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL254328">CHEMBL254328</a>	Metastatic Castration Resistant Prostate Cancer	CYP17A1; CPB2; AR; YBX1; TP53; PTEN; SRD5A2; APC; SRD5A1; TSPYL1; SRD5A3; DSE	2024-07-25	
Acalabrutinib	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB11703">DB11703</a>	L01EL02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3707348">CHEMBL3707348</a>	Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma	EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2	2024-07-24	
Aclarubicin	N	N	N	Japan	N			<a href="https://go.drugbank.com/drugs/DB11617">DB11617</a>	L01DB04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL502620">CHEMBL502620</a>		TOP2A; SMN1; CSF2	2024-07-24	
Adagrasib	N	Y	N		N	2022	N	<a href="https://go.drugbank.com/drugs/DB15568">DB15568</a>	L01XX77	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4594350">CHEMBL4594350</a>	Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer	KRAS; GPM6B	2024-07-24	
Afatinib	Y	Y	N		Y	2013	N	<a href="https://go.drugbank.com/drugs/DB08916">DB08916</a>	L01EB03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1173655">CHEMBL1173655</a>	Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer	NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO	2024-07-24	
Aflibercept	Y	Y	N		N	2011	N	<a href="https://go.drugbank.com/drugs/DB08885">DB08885</a>	S01LA05; L01XX44	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1742982">CHEMBL1742982</a>	Metastatic Colorectal Cancer (MCRC)	VEGFA; PIGF; VEGFC; VEGFB; PGF	2024-07-24	
Aldesleukin	N	Y	Y		N	1992	N	<a href="https://go.drugbank.com/drugs/DB00041">DB00041</a>	L03AC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201438">CHEMBL1201438</a>	High Risk Neuroblastoma; Metastatic Melanoma; Metastatic Renal Cell Carcinoma	IL2RA; IL2RB; IL2RG	2024-07-24	
Alectinib	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB11363">DB11363</a>	L01ED03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1738797">CHEMBL1738797</a>	Refractory, metastatic Non small cell lung cancer	RET; ALK; ROS1; EML4; TP53; CYP3A4; IDH2; HBEGF; DRD4; BRAF	2024-07-24	
Alemtuzumab	Y	Y	N		N	2001	N	<a href="https://go.drugbank.com/drugs/DB00087">DB00087</a>	L04AA34	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201587">CHEMBL1201587</a>	B-Cell Chronic Lymphocytic Leukemia; T-Cell Prolymphocytic Leukemia	CD52; TP53; CXCL12	2024-02-07	
Alitretinoin	Y	Y	N		N	1999	N	<a href="https://go.drugbank.com/drugs/DB00523">DB00523</a>	D11AH04; L01XF02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL705">CHEMBL705</a>	AIDS-related Kaposi&#39;s Sarcoma	RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR	2024-07-24	
Alpelisib	Y	Y	N		N	2019	N	<a href="https://go.drugbank.com/drugs/DB12015">DB12015</a>	L01EM03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2396661">CHEMBL2396661</a>	Advanced Metastatic Breast Cancer	F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS	2024-07-24	
Altretamine	N	N	Y		N	1990	N	<a href="https://go.drugbank.com/drugs/DB00488">DB00488</a>	L01XX03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1455">CHEMBL1455</a>	Ovarian Cancer; Ovarian Cancer Stage III	CYP1A2	2024-02-07	
Aminolevulinic Acid	Y	Y	N		N	1999	N	<a href="https://go.drugbank.com/drugs/DB00855">DB00855</a>	L01XD04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL601">CHEMBL601</a>	Basal Cell Carcinoma (BCC); Squamous Cell Carcinoma (SCC)	BCL2	2024-02-07	
Amivantamab	Y	Y	N		N	2021	N	<a href="https://go.drugbank.com/drugs/DB16695">DB16695</a>	L01FX18	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297774">CHEMBL4297774</a>	Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer	DRD4; DXO	2024-07-24	
Amrubicin	N	N	N	Japan	N	2002		<a href="https://go.drugbank.com/drugs/DB06263">DB06263</a>	L01DB10	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1186894">CHEMBL1186894</a>		TOP2A	2024-02-07	
